id,nombre,clasificacion,total_entidades,entidades_DNI,entidades_persona,entidades_CUIT,entidades_CBU,entidades_CUIL,entidades_CVU
536703,Embargo - usuario,Embargo,16,3.0,13,0.0,0.0,0.0,0.0
542140,Embargo - usuario,Embargo,17,4.0,12,1.0,0.0,0.0,0.0
546228,Embargo - usuario,Embargo,9,1.0,7,0.0,1.0,0.0,0.0
531044,Embargo - usuario,Embargo,14,1.0,11,1.0,1.0,0.0,0.0
546230,Embargo - usuario,Embargo,7,1.0,5,0.0,1.0,0.0,0.0
546231,Embargo - usuario,Embargo,21,1.0,18,2.0,0.0,0.0,0.0
536741,Embargo - usuario,Embargo,24,2.0,20,1.0,1.0,0.0,0.0
547358,Embargo - usuario,Embargo,18,0.0,14,1.0,0.0,1.0,2.0
529790,Embargo - usuario,Embargo,16,0.0,14,2.0,0.0,0.0,0.0
546250,Embargo - usuario,Embargo,8,1.0,6,0.0,1.0,0.0,0.0
538109,Embargo - usuario,Embargo,17,0.0,15,1.0,1.0,0.0,0.0
547393,Embargo - usuario,Embargo,15,0.0,15,0.0,0.0,0.0,0.0
524010,Embargo - usuario,Embargo,24,0.0,21,2.0,1.0,0.0,0.0
534570,Embargo - usuario,Embargo,23,3.0,19,1.0,0.0,0.0,0.0
538081,Embargo - usuario,Embargo,15,1.0,12,0.0,1.0,1.0,0.0
